optimizer,mean,sem
adagrad,64.4,21.39532659250613
adam,28.0,4.08656334834051
adamw,24.2,2.727636339397171
adamx,13.2,2.0099751242241783
adan,44.4,10.186265262597475
amsgrad,9.2,1.3564659966250536
lion,42.0,10.358571330062848
radam,25.2,6.673829485385434
rmsprop,100.0,0.0
sgd,100.0,0.0
yogi,9.2,0.7348469228349533
