optimizer,final_epoch,final_train_loss
adamx,100,0.0019637779018584437
yogi,100,0.0095906299241173
sgd,100,2.3006423653848946
rmsprop,100,0.002642940085579516
radam,100,0.002729483831231832
lion,100,0.00642279771146486
amsgrad,100,0.0023440094460742762
adan,100,0.0021667711595591407
adamw,100,0.0016057843165939597
adam,100,0.0017286040148178762
adagrad,100,0.05087408446131206
