"Step","stellar-dawn-522 - train_loss","stellar-dawn-522 - train_loss__MIN","stellar-dawn-522 - train_loss__MAX"
"782","1.9710666605883547","1.9710666605883547","1.9710666605883547"
"1564","1.7595757656085216","1.7595757656085216","1.7595757656085216"
"2346","1.6554796563085084","1.6554796563085084","1.6554796563085084"
"3128","1.5590029866494182","1.5590029866494182","1.5590029866494182"
"3910","1.4677092478708234","1.4677092478708234","1.4677092478708234"
"4692","1.3808105966014326","1.3808105966014326","1.3808105966014326"
"5474","1.3030099528829764","1.3030099528829764","1.3030099528829764"
"6256","1.2350223546137895","1.2350223546137895","1.2350223546137895"
"7038","1.171134660768387","1.171134660768387","1.171134660768387"
"7820","1.1151709036753916","1.1151709036753916","1.1151709036753916"
"8602","1.0610912210496186","1.0610912210496186","1.0610912210496186"
"9384","1.0099825144881178","1.0099825144881178","1.0099825144881178"
"10166","0.9582426769806601","0.9582426769806601","0.9582426769806601"
"10948","0.9083467191442505","0.9083467191442505","0.9083467191442505"
"11730","0.8588918794299025","0.8588918794299025","0.8588918794299025"
"12512","0.8118173292530771","0.8118173292530771","0.8118173292530771"
"13294","0.7667799941871477","0.7667799941871477","0.7667799941871477"
"14076","0.7243476111413268","0.7243476111413268","0.7243476111413268"
"14858","0.6846977066048576","0.6846977066048576","0.6846977066048576"
"15640","0.6494120764915291","0.6494120764915291","0.6494120764915291"
"16422","0.6147000265243413","0.6147000265243413","0.6147000265243413"
"17204","0.5818245607568785","0.5818245607568785","0.5818245607568785"
"17986","0.5543791958514381","0.5543791958514381","0.5543791958514381"
"18768","0.5272041031009401","0.5272041031009401","0.5272041031009401"
"19550","0.5007089127207656","0.5007089127207656","0.5007089127207656"
"20332","0.4768353919391437","0.4768353919391437","0.4768353919391437"
"21114","0.4558433760386294","0.4558433760386294","0.4558433760386294"
"21896","0.43636865532764085","0.43636865532764085","0.43636865532764085"
"22678","0.41900108647925777","0.41900108647925777","0.41900108647925777"
"23460","0.4025444075503313","0.4025444075503313","0.4025444075503313"
"24242","0.3863627636981437","0.3863627636981437","0.3863627636981437"
"25024","0.37229183994595655","0.37229183994595655","0.37229183994595655"
"25806","0.3575258729098093","0.3575258729098093","0.3575258729098093"
"26588","0.3454075041786789","0.3454075041786789","0.3454075041786789"
"27370","0.3327918294293191","0.3327918294293191","0.3327918294293191"
"28152","0.3210291009577339","0.3210291009577339","0.3210291009577339"
"28934","0.3100214849614426","0.3100214849614426","0.3100214849614426"
"29716","0.29838987967699687","0.29838987967699687","0.29838987967699687"
"30498","0.2876778900089776","0.2876778900089776","0.2876778900089776"
"31280","0.27790271323126603","0.27790271323126603","0.27790271323126603"
"32062","0.2674122665772962","0.2674122665772962","0.2674122665772962"
"32844","0.25715776849204625","0.25715776849204625","0.25715776849204625"
"33626","0.24731951826216314","0.24731951826216314","0.24731951826216314"
"34408","0.2366060629830031","0.2366060629830031","0.2366060629830031"
"35190","0.22706470920530428","0.22706470920530428","0.22706470920530428"
"35972","0.21701016096050477","0.21701016096050477","0.21701016096050477"
"36754","0.20733116206991703","0.20733116206991703","0.20733116206991703"
"37536","0.1985522193067214","0.1985522193067214","0.1985522193067214"
"38318","0.18884209160457183","0.18884209160457183","0.18884209160457183"
"39100","0.180876281903223","0.180876281903223","0.180876281903223"
"39882","0.17209979739335493","0.17209979739335493","0.17209979739335493"
"40664","0.16490234409832893","0.16490234409832893","0.16490234409832893"
"41446","0.15752282180368443","0.15752282180368443","0.15752282180368443"
"42228","0.15093548022343983","0.15093548022343983","0.15093548022343983"
"43010","0.14428501382775014","0.14428501382775014","0.14428501382775014"
"43792","0.13856105282521614","0.13856105282521614","0.13856105282521614"
"44574","0.13394713947725723","0.13394713947725723","0.13394713947725723"
"45356","0.12828932580588115","0.12828932580588115","0.12828932580588115"
"46138","0.12303543266128092","0.12303543266128092","0.12303543266128092"
"46920","0.1198686015461107","0.1198686015461107","0.1198686015461107"
"47702","0.11542341200744405","0.11542341200744405","0.11542341200744405"
"48484","0.11116664625151688","0.11116664625151688","0.11116664625151688"
"49266","0.10767553231257307","0.10767553231257307","0.10767553231257307"
"50048","0.1041747207855782","0.1041747207855782","0.1041747207855782"
"50830","0.10123681894424931","0.10123681894424931","0.10123681894424931"
"51612","0.09875042550742169","0.09875042550742169","0.09875042550742169"
"52394","0.0955967176181581","0.0955967176181581","0.0955967176181581"
"53176","0.09265198562379993","0.09265198562379993","0.09265198562379993"
"53958","0.09121643689930287","0.09121643689930287","0.09121643689930287"
"54740","0.088324795388962","0.088324795388962","0.088324795388962"
"55522","0.0859134049462083","0.0859134049462083","0.0859134049462083"
"56304","0.08395049355142867","0.08395049355142867","0.08395049355142867"
"57086","0.08183188905077213","0.08183188905077213","0.08183188905077213"
"57868","0.08002343647124822","0.08002343647124822","0.08002343647124822"
"58650","0.07830501635513647","0.07830501635513647","0.07830501635513647"
"59432","0.07684365654235606","0.07684365654235606","0.07684365654235606"
"60214","0.0749250309317923","0.0749250309317923","0.0749250309317923"
"60996","0.07343991999716862","0.07343991999716862","0.07343991999716862"
"61778","0.07218850547414454","0.07218850547414454","0.07218850547414454"
"62560","0.07024323816894723","0.07024323816894723","0.07024323816894723"
"63342","0.06874417373553261","0.06874417373553261","0.06874417373553261"
"64124","0.06780131606628066","0.06780131606628066","0.06780131606628066"
